Year,Scomber colias,Zygochlamys patagonica,Rajiformes,Elasmobranchii,Cynoscion guatucupa,Percophis brasiliensis,Pagrus pagrus,Brevoortia aurea,Pogonias cromis,Callorhinchus callorynchus,Galeorhinus galeus,Artemesia longinaris,Total
1950,8400,100,600,1700,1200,1000,300,500,600,400,500,400,15700
1951,17500,200,500,1700,600,1000,200,500,500,200,900,600,24400
1952,18000,300,500,1700,700,1000,400,500,700,200,1400,400,25800
1953,13700,1100,500,1700,300,1000,500,600,1100,200,2700,700,24100
1954,14400,500,500,2800,800,200,700,500,500,400,2000,300,23600
1955,14300,0,500,2800,600,600,600,1000,800,200,2000,600,24000
1956,10400,0,1100,3800,700,1500,800,1000,800,400,3300,600,24400
1957,19300,0,1100,3800,700,1500,1000,2000,800,400,3600,200,34400
1958,13500,0,1200,4000,1000,300,1600,2300,800,600,4000,300,29600
1959,9900,0,1300,3600,1000,600,1700,2700,1000,600,3200,300,25900
1960,15100,0,1300,5100,1000,500,1500,2300,1000,500,1900,300,30500
1961,9900,0,1600,5000,1000,500,1300,3000,1700,600,1300,500,26400
1962,8600,100,2300,6300,1000,3000,1400,1200,2100,600,400,400,27400
1963,13100,600,3900,6000,1000,4000,1700,1500,1500,600,1500,400,35800
1964,11800,800,4500,8400,2400,2300,2200,1600,1600,1000,600,400,37600
1965,11400,400,3200,9400,2300,2100,2100,1300,1000,800,800,400,35200
1966,17400,200,3700,9300,2900,2700,3100,1700,600,900,600,200,43300
1967,16100,600,5100,10900,7000,3700,2500,2000,1100,600,600,400,50600
1968,20300,1100,6100,10400,5100,3700,2700,1400,1100,600,500,600,53600
1969,14600,7500,4000,10600,5400,2400,1800,2000,1600,400,1000,400,51700
1970,12200,14000,4400,11900,4300,2600,2100,1600,1700,300,600,300,56000
1971,16200,5900,5800,11800,2400,2900,1900,2500,1700,300,900,600,52900
1972,8900,1700,5600,7300,4600,3200,1600,6300,1300,300,700,400,41900
1973,17300,0,16600,11900,5700,4000,3600,11400,1300,1200,400,500,73900
1974,9166,0,10901,12603,3900,3900,1600,8246,3401,700,100,400,54917
1975,9542,1141,10275,13317,1974,1842,2109,5825,5281,767,554,120,52747
1976,4724,857,5775,13216,4034,2670,3005,1865,2309,895,199,255,39804
