Year,All
1950,89236290.32
1951,89169823.3
1952,90933503.94
1953,90876385.28
1954,90771157.85
1955,92464346.38
1956,98220534.48
1957,104623485.3
1958,102912538.4
1959,114871696.4
1960,122550042.3
1961,123863618
1962,131380061.8
1963,134886157.3
1964,142278286.1
1965,151428270.6
1966,156633095.2
1967,157822009.6
1968,166629780.7
1969,143108741.7
1970,146743541.5
1971,152254139.1
1972,158936149.6
1973,153978225.2
1974,160476953
1975,167681521.1
1976,168713823.5
1977,198333225.9
1978,183049256
1979,189657672.9
1980,194351022.1
1981,207822785.6
1982,201096361.8
1983,223092822.9
1984,283299329.2
1985,257125540.8
1986,264494847.7
1987,455031657.6
1988,336498445.1
1989,411552574.3
1990,427607687.2
1991,465274590.5
1992,429570484.9
1993,436909573.8
1994,434558159.6
1995,525556321.2
1996,475651261.5
1997,477364321.9
1998,531652101
1999,541073385.4
2000,589375457.7
2001,629274023.3
2002,620836875.9
2003,634585238.9
2004,623318839.3
2005,589840467
2006,636838886.6
2007,706533079.7
2008,681512921.2
2009,779708895
2010,791452719.6
2011,700787591.4
2012,776345717.2
2013,888489181.4
2014,870312037.2
2015,867873467.4
2016,1094517356
2017,1094517356
2018,1094517356
2019,1094517356
